time,x,y,z,force,res
2.008791257,0.246769,-0.000100051,0.34555,0.0904209,0
2.008925726,0.246769,8.92522e-05,0.345463,0.0904209,0
2.029005425,0.246769,8.92522e-05,0.345463,0.0903962,0
2.049035820,0.246539,-5.35516e-06,0.345599,0.0903636,0
2.069021204,0.246539,-5.35516e-06,0.345599,0.0904316,0
2.089035663,0.246846,-0.000100081,0.345406,0.0903928,0
2.109019859,0.246616,-5.4347e-06,0.345425,0.0903551,0
2.129033549,0.246616,-5.4347e-06,0.345425,0.0904191,0
2.149004489,0.246846,-0.000100152,0.345164,0.0904424,0
2.169002980,0.246846,-0.000100152,0.345164,0.0903341,0
2.188977864,0.246615,-5.34774e-06,0.345744,0.090369,0
2.208993240,0.246539,-9.99679e-05,0.345599,0.0904167,0
2.229009421,0.246539,-9.99679e-05,0.345599,0.0904004,0
2.249033388,0.246539,-9.9912e-05,0.345656,0.0903193,0
2.268996638,0.246539,-9.9912e-05,0.345656,0.0904004,0
2.289018095,0.246616,8.91815e-05,0.34555,0.0903776,0
2.308979561,0.246693,-5.43901e-06,0.345512,0.0903864,0
2.329046801,0.246693,-5.43901e-06,0.345512,0.0904022,0
2.349014798,0.246692,0.000183845,0.345657,0.0903662,0
2.368999295,0.246692,0.000183845,0.345657,0.0903636,0
2.388997176,0.246538,-9.98876e-05,0.345811,0.0903991,0
2.409020150,0.246615,0.000183822,0.345724,0.0904056,0
2.428989280,0.246615,0.000183822,0.345724,0.0903707,0
2.449236764,0.246693,-5.30576e-06,0.345444,0.0903819,0
2.468989846,0.246693,-5.30576e-06,0.345444,0.0903917,0
2.488992972,0.246923,8.92614e-05,0.345183,0.0903403,0
2.509002680,0.246923,8.91525e-05,0.345009,0.0903303,0
2.529003023,0.246923,8.91525e-05,0.345009,0.0903926,0
2.548993476,0.246539,-9.99012e-05,0.345637,0.0903856,0
2.568994583,0.246539,-9.99012e-05,0.345637,0.090346,0
2.589006144,0.246692,-0.000289193,0.345599,0.0903674,0
2.609015372,0.246539,8.91565e-05,0.345463,0.0904153,0
2.629000366,0.246539,8.91565e-05,0.345463,0.0903672,0
2.649041791,0.246846,-9.99929e-05,0.345512,0.0903963,0
2.668993795,0.246846,-9.99929e-05,0.345512,0.0903952,0
2.688999489,0.246769,-0.000194642,0.34555,0.0903922,0
2.709014490,0.246693,8.92767e-05,0.345512,0.0904001,0
2.729024566,0.246693,8.92767e-05,0.345512,0.0903521,0
2.749040352,0.246616,8.91962e-05,0.34555,0.0903324,0
2.769074096,0.246616,8.91962e-05,0.34555,0.0903493,0
2.788983312,0.246616,-0.000100006,0.345376,0.0903579,0
2.809021806,0.246539,-5.31491e-06,0.345724,0.0903806,0
2.828989798,0.246539,-5.31491e-06,0.345724,0.090394,0
2.848996089,0.246846,-5.38225e-06,0.345502,0.0903881,0
2.869020368,0.246846,-5.38225e-06,0.345502,0.0903787,0
2.889040063,0.246769,-5.36542e-06,0.345657,0.0903767,0
2.909001667,0.246692,8.92482e-05,0.345589,0.0903765,0
2.929016479,0.246692,8.92482e-05,0.345589,0.0903782,0
2.949040385,0.246769,8.92556e-05,0.345444,0.0903926,0
2.968997987,0.246769,8.92556e-05,0.345444,0.0903553,0
2.989041602,0.246616,-9.99778e-05,0.34555,0.0903773,0
3.008988140,0.246692,-0.000194522,0.345705,0.0903992,0
3.029025053,0.246692,-0.000194522,0.345705,0.0903934,0
3.049025374,0.246539,-0.000194528,0.345531,0.0903751,0
3.069003448,0.246539,-0.000194528,0.345531,0.0903877,0
3.088992988,0.246693,-0.00010005,0.34527,0.0903682,0
3.109016601,0.24677,-0.00010005,0.345376,0.0903464,0
3.129008767,0.24677,-0.00010005,0.345376,0.0903829,0
3.149014440,0.246846,8.92669e-05,0.345464,0.0903786,0
3.169052521,0.246846,8.92669e-05,0.345464,0.0903541,0
3.188994400,0.246846,-0.000194783,0.345222,0.0903591,0
3.209006701,0.246693,-0.000289253,0.345415,0.0903789,0
3.228993019,0.246693,-0.000289253,0.345415,0.090403,0
3.249041256,0.246769,-0.000194598,0.345406,0.0903718,0
3.269013348,0.246769,-0.000194598,0.345406,0.0903824,0
3.289008879,0.246693,-9.99778e-05,0.34555,0.0903691,0
3.309012561,0.246846,-5.39397e-06,0.345444,0.0903788,0
3.328992027,0.246846,-5.39397e-06,0.345444,0.0903843,0
3.348989021,0.246846,-0.000194773,0.345376,0.090396,0
3.368979114,0.246846,-0.000194773,0.345376,0.0904033,0
3.388977069,0.246615,8.9132e-05,0.345705,0.0903803,0
3.409013487,0.246769,-0.000194688,0.345396,0.0903601,0
3.428979431,0.246769,-0.000194688,0.345396,0.0903714,0
3.448976369,0.246923,8.92757e-05,0.345289,0.0903826,0
3.469050788,0.246923,8.92757e-05,0.345289,0.090362,0
3.488980650,0.246846,8.92733e-05,0.345531,0.090362,0
3.509037353,0.246539,8.91958e-05,0.345512,0.0903584,0
3.529034914,0.246539,8.91958e-05,0.345512,0.0903809,0
3.549034666,0.246923,-0.000100128,0.345464,0.0904019,0
3.569024090,0.246923,-0.000100128,0.345464,0.090403,0
3.589024429,0.247,-5.44279e-06,0.345241,0.0904113,0
3.608996916,0.247077,-0.000194989,0.345077,0.0904105,0
3.629014421,0.247077,-0.000194989,0.345077,0.0904105,0
3.649012064,0.24677,-5.44415e-06,0.34527,0.0903649,0
3.669083842,0.24677,-5.44415e-06,0.34527,0.0903629,0
3.688999630,0.246692,-5.36153e-06,0.345676,0.0903894,0
3.709039605,0.246539,-5.38714e-06,0.34555,0.0903842,0
3.728978386,0.246539,-5.38714e-06,0.34555,0.0903889,0
3.749009417,0.24677,-0.000194732,0.345183,0.0903772,0
3.768976525,0.24677,-0.000194732,0.345183,0.0903411,0
3.789000892,0.246847,-5.47267e-06,0.345202,0.0903431,0
3.808976226,0.246616,-5.35769e-06,0.34555,0.0903408,0
3.828980782,0.246616,-5.35769e-06,0.34555,0.0903366,0
3.848975581,0.246616,-5.36547e-06,0.345656,0.0903452,0
3.869008037,0.246616,-5.36547e-06,0.345656,0.0903623,0
3.889054905,0.246923,-0.000289591,0.345096,0.0903684,0
3.909032339,0.246616,-0.000194547,0.345512,0.0903654,0
3.929035934,0.246616,-0.000194547,0.345512,0.0903474,0
3.948989313,0.246769,-5.41735e-06,0.345618,0.0903492,0
3.968980303,0.246769,-5.41735e-06,0.345618,0.0903661,0
3.989005787,0.246615,-5.23789e-06,0.345705,0.0903648,0
4.009005228,0.246846,-0.000100101,0.345309,0.0903961,0
4.028976037,0.246846,-0.000100101,0.345309,0.0903985,0
4.048993634,0.246615,-5.35945e-06,0.345686,0.0903747,0
4.069027312,0.246615,-5.35945e-06,0.345686,0.0903709,0
4.089021427,0.246539,8.91874e-05,0.345724,0.0903656,0
4.109008838,0.246769,0.000373103,0.345309,0.0903803,0
4.129043310,0.246769,0.000373103,0.345309,0.0903682,0
4.149051800,0.246847,-0.00010017,0.345115,0.0903515,0
4.169037163,0.246847,-0.00010017,0.345115,0.0903761,0
4.188996124,0.246846,-5.41948e-06,0.345464,0.0903261,0
4.208982741,0.246999,8.93434e-05,0.345551,0.0903071,0
4.229005227,0.246999,8.93434e-05,0.345551,0.0903232,0
4.249020012,0.246693,8.92595e-05,0.345319,0.0903572,0
4.269005690,0.246693,8.92595e-05,0.345319,0.0903783,0
4.288999384,0.246693,-0.0001,0.345512,0.0903654,0
4.308999429,0.246769,0.000183849,0.345531,0.090366,0
4.329009711,0.246769,0.000183849,0.345531,0.0903997,0
4.348996796,0.246846,8.92203e-05,0.34527,0.0903796,0
4.369031832,0.246846,8.92203e-05,0.34527,0.0903678,0
4.389042987,0.246692,-5.32913e-06,0.345618,0.0903679,0
4.409020514,0.246846,-0.000194711,0.345464,0.0903939,0
4.428990531,0.246846,-0.000194711,0.345464,0.0903896,0
4.449014322,0.246461,-9.97928e-05,0.345879,0.0903747,0
4.469006223,0.246461,-9.97928e-05,0.345879,0.0903717,0
4.489056036,0.246693,-5.39745e-06,0.345463,0.0903657,0
4.509014955,0.246693,-5.39745e-06,0.345463,0.0903656,0
4.529001137,0.24677,-0.000100087,0.345376,0.0903901,0
4.549004427,0.24677,-5.59903e-06,0.345232,0.0903822,0
4.569004398,0.24677,-5.59903e-06,0.345232,0.0903825,0
4.588994018,0.247077,-0.000195069,0.344971,0.0904047,0
4.608990055,0.246692,-5.35162e-06,0.345725,0.0903605,0
4.628998790,0.246692,-5.35162e-06,0.345725,0.0903432,0
4.649006388,0.246692,-5.38405e-06,0.345637,0.0903585,0
4.668993078,0.246692,-5.38405e-06,0.345637,0.0903384,0
4.689001957,0.246846,-5.51422e-06,0.345251,0.0903511,0
4.708989976,0.246693,0.000183799,0.345463,0.0903577,0
4.729006015,0.246693,0.000183799,0.345463,0.0903717,0
4.748980145,0.246693,0.000278349,0.345444,0.0903444,0
4.768978234,0.246693,0.000278349,0.345444,0.0903482,0
4.788986660,0.246616,-5.43425e-06,0.345463,0.0903454,0
4.808985412,0.246769,-5.30229e-06,0.345425,0.0903735,0
4.828981317,0.246769,-5.30229e-06,0.345425,0.0903803,0
4.849046047,0.246539,-0.000194502,0.345444,0.0903705,0
4.869040381,0.246539,-0.000194502,0.345444,0.0903647,0
4.889059533,0.246615,-9.99348e-05,0.345724,0.09034,0
4.909008440,0.246769,-5.40088e-06,0.345483,0.0903456,0
4.928993099,0.246769,-5.40088e-06,0.345483,0.090365,0
4.949021077,0.24677,-0.000100109,0.34527,0.0903714,0
4.969050525,0.24677,-0.000100109,0.34527,0.0903577,0
4.989052608,0.246693,-0.000194628,0.345406,0.0903566,0
5.009008987,0.246846,-0.000100123,0.34527,0.0903526,0
5.029013595,0.246846,-0.000100123,0.34527,0.0903687,0
5.049000506,0.24677,-5.46533e-06,0.345202,0.0903495,0
5.069034725,0.24677,-5.46533e-06,0.345202,0.0903571,0
5.089024341,0.24677,-0.000194678,0.345376,0.0903628,0
5.109026653,0.246692,0.000183849,0.345637,0.0903482,0
5.129023364,0.246692,0.000183849,0.345637,0.0903522,0
5.149030991,0.246846,-5.42036e-06,0.345531,0.0903841,0
5.168993043,0.246846,-5.42036e-06,0.345531,0.0903855,0
5.188989390,0.246923,-5.47354e-06,0.34527,0.0903763,0
5.208981680,0.246846,-0.000100135,0.345357,0.0903806,0
5.228997311,0.246846,-0.000100135,0.345357,0.0903737,0
5.248992913,0.246616,-5.33996e-06,0.345637,0.0903342,0
5.269000108,0.246616,-5.33996e-06,0.345637,0.0903463,0
5.289016101,0.246616,-5.33261e-06,0.345637,0.0903589,0
5.309006084,0.246693,-5.4009e-06,0.345483,0.0903572,0
5.329044575,0.246693,-5.4009e-06,0.345483,0.0903912,0
5.349011050,0.246616,-5.43992e-06,0.34558,0.0903811,0
5.368996323,0.246616,-5.43992e-06,0.34558,0.0903579,0
5.389018796,0.247,-5.48303e-06,0.345115,0.0903713,0
5.408996291,0.246846,-5.45582e-06,0.345357,0.0903673,0
5.428985926,0.246846,-5.45582e-06,0.345357,0.0903592,0
5.448977539,0.246846,-0.000100083,0.345396,0.0903572,0
5.468978904,0.246846,-0.000100083,0.345396,0.0903539,0
5.489006531,0.246693,-5.42342e-06,0.345444,0.0903514,0
5.509015013,0.24677,-5.48827e-06,0.34527,0.0903598,0
5.529003709,0.24677,-5.48827e-06,0.34527,0.0903598,0
5.549021231,0.24677,-0.000100164,0.345145,0.0903599,0
5.569042085,0.24677,-0.000100164,0.345145,0.0903487,0
5.588994617,0.246616,-9.99848e-05,0.345444,0.0903521,0
5.608996434,0.246615,0.000278399,0.345618,0.0903651,0
5.629001983,0.246615,0.000278399,0.345618,0.090384,0
5.648999769,0.246461,8.92103e-05,0.345947,0.0903705,0
5.669037148,0.246461,8.92103e-05,0.345947,0.0903533,0
5.689051571,0.246461,-0.000194255,0.346034,0.0903395,0
5.709000144,0.247,-0.000194934,0.345202,0.0903571,0
5.729034610,0.247,-0.000194934,0.345202,0.0903571,0
5.748998388,0.246539,-5.34777e-06,0.345743,0.0903566,0
5.769016916,0.246539,-5.34777e-06,0.345743,0.0903579,0
5.789014188,0.247,-5.49341e-06,0.345028,0.0903398,0
5.809014938,0.246693,-5.47922e-06,0.345531,0.0903638,0
5.829045514,0.246693,-5.47922e-06,0.345531,0.090361,0
5.848995819,0.246846,-0.000100014,0.345444,0.0903646,0
5.869043289,0.246846,-0.000100014,0.345444,0.0903586,0
5.888991798,0.246462,8.90913e-05,0.345686,0.0903486,0
5.909005177,0.246769,8.91959e-05,0.345512,0.0903572,0
5.929022368,0.246769,8.91959e-05,0.345512,0.090347,0
5.948980385,0.246846,-0.000100131,0.345376,0.0903708,0
5.969007425,0.246846,-0.000100131,0.345376,0.0903835,0
5.989005975,0.246846,0.000183989,0.345676,0.0904087,0
6.009038488,0.246769,-9.99925e-05,0.34555,0.090374,0
6.029020238,0.246769,-9.99925e-05,0.34555,0.0903684,0
6.049017272,0.247153,-5.50682e-06,0.344854,0.0903734,0
6.069033378,0.247153,-5.50682e-06,0.344854,0.0903599,0
6.088982188,0.247,-0.000100221,0.345009,0.0903712,0
6.108985591,0.246846,-9.99979e-05,0.345164,0.0903677,0
6.129004533,0.246846,-9.99979e-05,0.345164,0.0903574,0
6.148982728,0.246923,-0.000100201,0.34496,0.0903464,0
6.168990523,0.246923,-0.000100201,0.34496,0.0903562,0
6.188997434,0.246923,-5.41468e-06,0.345415,0.0903562,0
6.208992134,0.246615,8.93222e-05,0.345773,0.0903704,0
6.229007886,0.246615,8.93222e-05,0.345773,0.0903457,0
6.249015944,0.246846,-0.000100153,0.34527,0.0903789,0
6.268999973,0.246846,-0.000100153,0.34527,0.0903471,0
6.288994011,0.246615,-9.99608e-05,0.345705,0.0903615,0
6.309024784,0.247077,0.000278808,0.345096,0.0903475,0
6.329025197,0.247077,0.000278808,0.345096,0.0903475,0
6.349019520,0.246846,-0.000194755,0.345357,0.0903581,0
6.369053718,0.246846,-0.000194755,0.345357,0.0903674,0
6.389034446,0.246846,-0.000194693,0.345338,0.0903534,0
6.409032665,0.246846,-5.47355e-06,0.34527,0.0903459,0
6.429002451,0.246846,-5.47355e-06,0.34527,0.0903776,0
6.449065418,0.246923,-0.000100134,0.345289,0.0903597,0
6.469015883,0.246923,-0.000100134,0.345289,0.0903849,0
6.489039662,0.246846,-0.000100051,0.345551,0.0903593,0
6.509000474,0.246615,8.9229e-05,0.345676,0.0903461,0
6.529050875,0.246615,8.9229e-05,0.345676,0.0903461,0
6.549006591,0.24677,-0.000194755,0.345357,0.090347,0
6.568993468,0.24677,-0.000194755,0.345357,0.0903695,0
6.589034814,0.246923,-5.50598e-06,0.345183,0.0903695,0
6.608993132,0.246846,-0.000100105,0.345289,0.0903949,0
6.629036276,0.246846,-0.000100105,0.345289,0.0903671,0
6.649040427,0.246539,-9.98938e-05,0.345637,0.0903475,0
6.669047287,0.246539,-9.98938e-05,0.345637,0.0903345,0
6.689007022,0.24677,-0.000100047,0.345357,0.0903119,0
6.709006893,0.246539,-9.9912e-05,0.345656,0.090338,0
6.729038983,0.246539,-9.9912e-05,0.345656,0.0903189,0
6.748978461,0.246693,-5.40569e-06,0.345531,0.0903627,0
6.769010733,0.246693,-5.40569e-06,0.345531,0.0903684,0
6.788992972,0.246846,-5.45884e-06,0.34527,0.0903378,0
6.808998334,0.246847,-5.50511e-06,0.345115,0.0903315,0
6.829008953,0.246847,-5.50511e-06,0.345115,0.0903488,0
6.848989217,0.246539,8.91986e-05,0.345743,0.0903489,0
6.868993986,0.246539,8.91986e-05,0.345743,0.0903598,0
6.888989227,0.246846,-5.40431e-06,0.345502,0.0903916,0
6.908982095,0.246693,-5.39443e-06,0.34555,0.0903742,0
6.928986839,0.246693,-5.39443e-06,0.34555,0.0903446,0
6.949033343,0.246693,0.000183794,0.345406,0.0903452,0
6.969024418,0.246693,0.000183794,0.345406,0.0903486,0
6.989024976,0.246846,-0.00019482,0.345183,0.0903576,0
7.008992336,0.246923,8.92074e-05,0.345279,0.0903458,0
7.028985789,0.246923,8.92074e-05,0.345279,0.0903675,0
7.048985166,0.247,-0.000194716,0.344971,0.0903896,0
7.068983434,0.247,-0.000194716,0.344971,0.0903804,0
7.089064389,0.246769,-0.000100044,0.345444,0.090342,0
7.109027049,0.246923,-5.4264e-06,0.345357,0.090334,0
7.129056582,0.246923,-5.4264e-06,0.345357,0.0903476,0
7.149001497,0.246923,-5.49215e-06,0.345251,0.0903615,0
7.169042161,0.246923,-5.49215e-06,0.345251,0.0903662,0
7.188989012,0.247,-5.51068e-06,0.34498,0.0903743,0
7.208979357,0.246846,-0.000194746,0.345328,0.090384,0
7.228997557,0.246846,-0.000194746,0.345328,0.0903435,0
7.249005494,0.247153,-5.42074e-06,0.345241,0.0903441,0
7.269037718,0.247153,-5.42074e-06,0.345241,0.0903653,0
7.288998256,0.246769,-0.000100042,0.345453,0.0903545,0
7.309020397,0.246846,-5.44111e-06,0.345357,0.090383,0
7.328988116,0.246846,-5.44111e-06,0.345357,0.0903647,0
7.349003595,0.247077,-0.000100283,0.345028,0.090349,0
7.368984268,0.247077,-0.000100283,0.345028,0.0903598,0
7.388989617,0.246539,0.000183753,0.345637,0.0903745,0
7.408994897,0.246539,-9.99069e-05,0.345501,0.0903139,0
7.429036186,0.246539,-9.99069e-05,0.345501,0.090297,0
7.449004598,0.246769,0.000183851,0.345396,0.0903244,0
7.469037381,0.246769,0.000183851,0.345396,0.090314,0
7.489038386,0.246539,-5.38109e-06,0.345724,0.0903164,0
7.508995776,0.246769,-0.000194643,0.345618,0.0903586,0
7.529034682,0.246769,-0.000194643,0.345618,0.0903946,0
7.548988074,0.246923,-0.000100146,0.345377,0.0903486,0
7.568986600,0.246923,-0.000100146,0.345377,0.0903441,0
7.589018813,0.246923,-0.000194806,0.345396,0.090348,0
7.608993142,0.247,8.93055e-05,0.345183,0.0903537,0
7.628998584,0.247,8.93055e-05,0.345183,0.0903431,0
7.649014241,0.246539,-9.99814e-05,0.345425,0.0903421,0
7.669023199,0.246539,-9.99814e-05,0.345425,0.0903441,0
7.689029387,0.24677,-5.41861e-06,0.345396,0.0903649,0
7.708999022,0.246616,-9.99413e-05,0.345656,0.0903631,0
7.729000784,0.246616,-9.99413e-05,0.345656,0.0903608,0
7.749034919,0.246539,8.92644e-05,0.345705,0.0903777,0
7.769011636,0.246539,8.92644e-05,0.345705,0.0903832,0
7.789047619,0.246846,-0.000100058,0.345589,0.0903665,0
7.808983274,0.246846,-5.43633e-06,0.345309,0.0903653,0
7.829010467,0.246846,-5.43633e-06,0.345309,0.0903701,0
7.849023529,0.246847,8.91555e-05,0.345096,0.090351,0
7.869051255,0.246847,8.91555e-05,0.345096,0.0903381,0
7.889005799,0.246539,-9.98974e-05,0.345512,0.0903286,0
7.909004874,0.247077,-0.00019503,0.344873,0.0903436,0
7.928991834,0.247077,-0.00019503,0.344873,0.0903695,0
7.948981354,0.246923,-0.000100083,0.345502,0.0903618,0
