time,x,y,z,force,res
2.008932251,0.246769,-5.10885e-06,0.345472,-0.0471184,0
2.008988756,0.246769,-5.10885e-06,0.345472,-0.0471184,0
2.029071456,0.247153,-0.000289133,0.34525,-0.047108,0
2.049044073,0.247153,-0.000289133,0.34525,-0.0470717,0
2.069045049,0.24677,-0.000194537,0.345347,-0.0470952,0
2.089116591,0.247077,-0.000100076,0.344999,-0.0471084,0
2.109080372,0.247077,-0.000100076,0.344999,-0.0471101,0
2.129048756,0.246616,-0.00038338,0.345453,-0.0471037,0
2.149049609,0.246616,-0.00038338,0.345453,-0.0471081,0
2.169114146,0.246847,-5.25808e-06,0.345173,-0.0471224,0
2.189056190,0.246385,-5.19297e-06,0.345781,-0.0471437,0
2.209115969,0.246385,-5.19297e-06,0.345781,-0.0471342,0
2.229048862,0.246923,-0.000289571,0.345047,-0.0471427,0
2.249047058,0.246923,-0.000289571,0.345047,-0.0471401,0
2.269045439,0.247077,-0.000194895,0.345067,-0.0471526,0
2.289118899,0.247153,-0.000100367,0.344941,-0.0471545,0
2.309058884,0.247153,-0.000100367,0.344941,-0.0471388,0
2.329090270,0.247,-0.000100035,0.344912,-0.0471376,0
2.349038118,0.247,-0.000100035,0.344912,-0.0471066,0
2.369059374,0.24723,-0.000195029,0.344737,-0.0471198,0
2.389095173,0.246769,-0.000194611,0.345415,-0.0471046,0
2.409060658,0.246769,-0.000194611,0.345415,-0.0470945,0
2.429072254,0.246692,-0.000289114,0.345589,-0.0471087,0
2.449017851,0.246692,-0.000289114,0.345589,-0.0471284,0
2.469062968,0.246693,-5.20837e-06,0.345453,-0.0471459,0
2.489094052,0.247307,-5.22652e-06,0.344931,-0.0471503,0
2.509062469,0.247307,-5.22652e-06,0.344931,-0.0471303,0
2.529120234,0.246693,8.90844e-05,0.345289,-0.0471055,0
2.549085062,0.246693,8.90844e-05,0.345289,-0.0470854,0
2.569058330,0.246846,-5.12917e-06,0.345192,-0.0470721,0
2.589107515,0.246923,-0.000100014,0.345086,-0.047086,0
2.609058595,0.246923,-0.000100014,0.345086,-0.0471122,0
2.629066084,0.247153,8.9277e-05,0.344718,-0.0471119,0
2.649088955,0.247153,8.9277e-05,0.344718,-0.0471403,0
2.669079146,0.24677,8.92407e-05,0.345154,-0.0471377,0
2.689073277,0.246846,-9.99082e-05,0.345279,-0.0471159,0
2.709074351,0.246846,-9.99082e-05,0.345279,-0.0470786,0
2.729082621,0.246462,8.9321e-05,0.345694,-0.0470845,0
2.749072562,0.246462,8.9321e-05,0.345694,-0.0471096,0
2.769101316,0.247077,-5.48951e-06,0.345047,-0.0471124,0
2.789072499,0.246693,-0.000194528,0.345173,-0.0471048,0
2.809080184,0.246693,-0.000194528,0.345173,-0.0471155,0
2.829083523,0.246539,-0.000194289,0.345695,-0.0471108,0
2.849008061,0.246539,-0.000194289,0.345695,-0.0471141,0
2.869050440,0.246846,-0.00019471,0.345328,-0.0471116,0
2.889116262,0.246769,-9.98212e-05,0.345453,-0.0470972,0
2.909053730,0.246769,-9.98212e-05,0.345453,-0.0471095,0
2.929056798,0.246923,-0.000194669,0.345347,-0.0471045,0
2.949071261,0.246923,-0.000194669,0.345347,-0.0470733,0
2.969114978,0.246923,-5.20874e-06,0.345018,-0.0470786,0
2.989102181,0.247,-0.000384341,0.344893,-0.0470762,0
3.009129091,0.247,-0.000384341,0.344893,-0.0470875,0
3.029071985,0.246923,8.94241e-05,0.34526,-0.0471275,0
3.049079789,0.246923,8.94241e-05,0.34526,-0.0471394,0
3.069110167,0.246847,-0.000100214,0.345115,-0.0471394,0
3.089099456,0.246923,8.93917e-05,0.345173,-0.0471367,0
3.109081081,0.246923,8.93917e-05,0.345173,-0.0471068,0
3.129107609,0.246616,-9.99948e-05,0.345395,-0.0470963,0
3.149059731,0.246616,-9.99948e-05,0.345395,-0.0470725,0
3.169051126,0.247077,-9.99385e-05,0.34495,-0.0470685,0
3.189044233,0.246693,-0.000194612,0.345483,-0.0470881,0
3.209118905,0.246693,-0.000194612,0.345483,-0.0471137,0
3.229068779,0.246769,-9.99068e-05,0.345502,-0.0471012,0
3.249066911,0.246769,-9.99068e-05,0.345502,-0.0471145,0
3.269076634,0.246847,8.91152e-05,0.345115,-0.0471321,0
3.289063571,0.246846,-5.22174e-06,0.345279,-0.0471262,0
3.309108211,0.246846,-5.22174e-06,0.345279,-0.0471159,0
3.329100695,0.247,8.9473e-05,0.345211,-0.0471312,0
3.349063132,0.247,8.9473e-05,0.345211,-0.0471312,0
3.369078993,0.246923,-0.000289553,0.345135,-0.0471343,0
3.389106015,0.246846,-9.99225e-05,0.345173,-0.0471329,0
3.409077066,0.246846,-9.99225e-05,0.345173,-0.0471193,0
3.429087420,0.246923,-0.000194829,0.345067,-0.0471069,0
3.449054719,0.246923,-0.000194829,0.345067,-0.0471145,0
3.469062912,0.24677,-0.000100089,0.345221,-0.047105,0
3.489055845,0.24677,-5.41861e-06,0.345396,-0.0471001,0
3.509054475,0.24677,-5.41861e-06,0.345396,-0.047098,0
3.529101577,0.247536,-0.000100045,0.344533,-0.047098,0
3.549091571,0.247536,-0.000100045,0.344533,-0.0470965,0
3.569054246,0.246846,-0.000289219,0.345472,-0.0470927,0
3.589056045,0.246693,-9.99614e-05,0.345415,-0.0470952,0
3.609091589,0.246693,-9.99614e-05,0.345415,-0.0470941,0
3.629084250,0.24677,-0.000194492,0.345279,-0.0470917,0
3.649056909,0.24677,-0.000194492,0.345279,-0.0471016,0
3.669091791,0.246538,-0.000288794,0.345714,-0.0471183,0
3.689137791,0.247077,-0.000100112,0.344931,-0.0471094,0
3.709092075,0.247077,-0.000100112,0.344931,-0.0471179,0
3.729097507,0.246615,-0.000194348,0.345695,-0.0471236,0
3.749114894,0.246615,-0.000194348,0.345695,-0.0470974,0
3.769058652,0.246769,-9.98514e-05,0.345521,-0.0470874,0
3.789097461,0.24677,-0.000194408,0.345366,-0.0471063,0
3.809057886,0.24677,-0.000194408,0.345366,-0.0471331,0
3.829064190,0.247,-9.99762e-05,0.345018,-0.047131,0
3.849085301,0.247,-9.99762e-05,0.345018,-0.0471299,0
3.869134521,0.246923,-0.000384015,0.345192,-0.0471241,0
3.889085907,0.246846,8.92281e-05,0.345309,-0.0470968,0
3.909101083,0.246846,8.92281e-05,0.345309,-0.0470747,0
3.929076752,0.246386,-0.000194218,0.345607,-0.0471011,0
3.949090025,0.246386,-0.000194218,0.345607,-0.047101,0
3.969056396,0.246615,-9.97245e-05,0.345782,-0.047128,0
3.989097989,0.247,8.94964e-05,0.345037,-0.0471358,0
4.009101258,0.247,8.94964e-05,0.345037,-0.0471135,0
4.029101115,0.246847,-5.41641e-06,0.345154,-0.0471045,0
4.049076051,0.246847,-5.41641e-06,0.345154,-0.0470717,0
4.069115155,0.247077,-0.00010009,0.344999,-0.0470637,0
4.089104586,0.246693,-9.9796e-05,0.34554,-0.0470637,0
4.109100847,0.246693,-9.9796e-05,0.34554,-0.0471134,0
4.129082768,0.246846,-5.2754e-06,0.345521,-0.0471486,0
4.149079278,0.246846,-5.2754e-06,0.345521,-0.0471714,0
4.169103738,0.247153,-0.000384706,0.344612,-0.047133,0
4.189080109,0.246693,-9.98429e-05,0.345347,-0.0471103,0
4.209067822,0.246693,-9.98429e-05,0.345347,-0.0470631,0
4.229081713,0.246846,-0.000194801,0.345134,-0.0470656,0
4.249065265,0.246846,-0.000194801,0.345134,-0.047118,0
4.269068449,0.246539,-9.97195e-05,0.345627,-0.047118,0
4.289098128,0.247153,-9.97538e-05,0.344882,-0.0471335,0
4.309101884,0.247153,-9.97538e-05,0.344882,-0.0471445,0
4.329103711,0.246616,-9.98252e-05,0.345434,-0.0471215,0
4.349101564,0.246616,-9.98252e-05,0.345434,-0.0471085,0
4.369102484,0.247,-0.000100315,0.344941,-0.0470729,0
4.389105657,0.246462,-9.96239e-05,0.345627,-0.0471094,0
4.409106186,0.246462,-9.96239e-05,0.345627,-0.0471054,0
4.429100012,0.246539,-5.1907e-06,0.34554,-0.0471211,0
4.449074358,0.246539,-5.1907e-06,0.34554,-0.0471356,0
4.469099518,0.246616,-5.01419e-06,0.34554,-0.0471296,0
4.489104300,0.246846,-0.0001949,0.345115,-0.0471376,0
4.509107612,0.246846,-0.0001949,0.345115,-0.0471093,0
4.529099249,0.24723,-0.000195071,0.344892,-0.0470841,0
4.549105604,0.24723,-0.000195071,0.344892,-0.0470952,0
4.569063767,0.246846,-4.99118e-06,0.345472,-0.0471322,0
4.589104885,0.246615,-5.06697e-06,0.345714,-0.0471258,0
4.609079157,0.246615,-5.06697e-06,0.345714,-0.0471306,0
4.629067725,0.246847,8.91927e-05,0.345134,-0.0471172,0
4.649102995,0.246847,8.91927e-05,0.345134,-0.0470879,0
4.669099205,0.246539,-5.13835e-06,0.345472,-0.0470969,0
4.689074987,0.246846,-0.000478724,0.345154,-0.0471171,0
4.709058281,0.246846,-0.000478724,0.345154,-0.047125,0
4.729046420,0.246846,-0.000289312,0.345415,-0.0471425,0
4.749068348,0.246846,-0.000289312,0.345415,-0.047156,0
4.769086486,0.246231,8.9312e-05,0.345868,-0.0471278,0
4.789041414,0.247307,-0.000195225,0.344786,-0.0471274,0
4.809048144,0.247307,-0.000195225,0.344786,-0.0471399,0
4.829059703,0.247077,-5.30824e-06,0.344999,-0.0471502,0
4.849047610,0.247077,-5.30824e-06,0.344999,-0.0471686,0
4.869048545,0.246846,-9.9948e-05,0.345192,-0.0471273,0
