time,x,y,z,force,res
2.043439322,0.24723,-0.000195191,0.344805,0.050313,0
2.043515970,0.24723,-0.000195191,0.344805,0.050313,0
2.063590202,0.247153,-0.000289889,0.344786,0.0503092,0
2.083587431,0.247,-5.46488e-06,0.345096,0.0503142,0
2.103591717,0.247,-5.46488e-06,0.345096,0.0502774,0
2.123594527,0.246923,-0.000194903,0.345028,0.0502836,0
2.143577601,0.246923,-0.000194903,0.345028,0.0502345,0
2.163624224,0.246923,-5.47266e-06,0.345202,0.0501999,0
2.183575363,0.247,-5.53489e-06,0.344825,0.0502027,0
2.203573644,0.247,-5.53489e-06,0.344825,0.0502076,0
2.223587652,0.246616,-5.40135e-06,0.345589,0.0501903,0
2.243616341,0.246616,-5.40135e-06,0.345589,0.0501903,0
2.263600129,0.247077,8.92455e-05,0.34496,0.0502148,0
2.283587060,0.247153,0.000184057,0.34496,0.0502357,0
2.303585757,0.247153,0.000184057,0.34496,0.0502053,0
2.323594328,0.246923,8.92329e-05,0.345115,0.0502255,0
2.343617490,0.246923,8.92329e-05,0.345115,0.0502579,0
2.363658911,0.246923,-0.000478898,0.345202,0.0502671,0
2.383572875,0.24677,-0.000100065,0.345376,0.0502588,0
2.403585797,0.24677,-0.000100065,0.345376,0.050264,0
2.423575125,0.246846,0.000184032,0.345453,0.0502827,0
2.443576803,0.246846,0.000184032,0.345453,0.0502791,0
2.463573960,0.246539,-5.37933e-06,0.345588,0.0502513,0
2.483575861,0.246923,-5.43632e-06,0.345309,0.0502344,0
2.503575441,0.246923,-5.43632e-06,0.345309,0.0502349,0
2.523590704,0.246846,0.000183932,0.345502,0.0502171,0
2.543561614,0.246846,0.000183932,0.345502,0.0502327,0
2.563584079,0.247383,-5.54101e-06,0.34465,0.0502631,0
2.583572084,0.246923,-5.44715e-06,0.345183,0.0502787,0
2.603575659,0.246923,-5.44715e-06,0.345183,0.0502566,0
2.623768811,0.246923,0.000183955,0.345289,0.0502684,0
2.643590455,0.246923,0.000183955,0.345289,0.0502961,0
2.663573571,0.247307,-5.52157e-06,0.344854,0.0502816,0
2.683591612,0.247306,0.000184126,0.34465,0.0502635,0
2.703586875,0.247306,0.000184126,0.34465,0.0502854,0
2.724221094,0.24746,-5.54192e-06,0.344718,0.050273,0
2.743574540,0.24746,-5.54192e-06,0.344718,0.0502806,0
2.763586047,0.24723,-0.000100336,0.344767,0.0502486,0
2.783573742,0.247077,-5.49338e-06,0.345173,0.050218,0
2.803577032,0.247077,-5.49338e-06,0.345173,0.050261,0
2.823589211,0.247,-5.47177e-06,0.345135,0.050231,0
2.843591336,0.247,-5.47177e-06,0.345135,0.050232,0
2.863587012,0.247,-0.000100194,0.345067,0.0502062,0
2.883595969,0.24723,-5.50336e-06,0.344979,0.0501871,0
2.903574688,0.24723,-5.50336e-06,0.344979,0.0501805,0
2.923578182,0.24677,-5.4718e-06,0.345134,0.0502045,0
2.943575081,0.24677,-5.4718e-06,0.345134,0.0502443,0
2.963581929,0.24723,-5.54058e-06,0.344941,0.0502576,0
2.983573471,0.247,-0.000194979,0.34498,0.0502382,0
3.003573653,0.247,-0.000194979,0.34498,0.0502289,0
3.023583152,0.247,-0.000194901,0.345222,0.050218,0
3.043580199,0.247,-0.000194901,0.345222,0.050218,0
3.063599024,0.246847,-0.000100136,0.345134,0.0502192,0
3.083573034,0.246923,-0.000194856,0.345115,0.0502066,0
3.103570867,0.246923,-0.000194856,0.345115,0.0502273,0
3.123591132,0.247077,-5.56518e-06,0.344893,0.0502506,0
3.143589797,0.247077,-5.56518e-06,0.344893,0.0502932,0
3.163597777,0.247,-5.51804e-06,0.34498,0.0502904,0
3.183577549,0.247077,-5.47178e-06,0.345135,0.0503067,0
3.203587809,0.247077,-5.47178e-06,0.345135,0.0502956,0
3.223574901,0.247,0.000183939,0.34496,0.0502729,0
3.243586024,0.247,0.000183939,0.34496,0.0502686,0
3.263583552,0.246923,-0.000100127,0.345289,0.0502779,0
3.283590793,0.24723,-0.000100383,0.344718,0.0502778,0
3.303596301,0.24723,-0.000100383,0.344718,0.0502765,0
3.323597100,0.247077,-0.000195031,0.345086,0.0502161,0
